id,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,ccd,visit,goodpix,weight,filter,fwhm
193148084,0,0,4071,3999,84,193148,970243,5.977181556052771,r_sim_1.4,0.7669724045413372
193148085,0,0,4071,3999,85,193148,6219398,5.977181556052771,r_sim_1.4,0.7670685400406624
193148087,0,0,4071,3999,87,193148,848715,5.977181556052771,r_sim_1.4,0.7623545542383211
193148088,0,0,4071,3999,88,193148,7458546,5.977181556052771,r_sim_1.4,0.7622552890849786
193148089,0,0,4071,3999,89,193148,100,5.977181556052771,r_sim_1.4,0.7662601175549694
193183060,0,0,4071,3999,60,193183,5215979,6.008040657249591,r_sim_1.4,0.7706923286421955
193183061,0,0,4071,3999,61,193183,83024,6.008040657249591,r_sim_1.4,0.7705105294367763
193183092,0,0,4071,3999,92,193183,425873,6.008040657249591,r_sim_1.4,0.7706787956744521
193183099,0,0,4071,3999,99,193183,9383749,6.008040657249591,r_sim_1.4,0.7716888057300036
193183100,0,0,4071,3999,100,193183,350216,6.008040657249591,r_sim_1.4,0.7707345196544012
193187080,0,0,4071,3999,80,193187,214908,5.987113110109607,r_sim_1.4,0.7823389628729536
193187118,0,0,4071,3999,118,193187,2859579,5.987113110109607,r_sim_1.4,0.7820752672893106
193187119,0,0,4071,3999,119,193187,11958300,5.987113110109607,r_sim_1.4,0.7837515979300295
193187122,0,0,4071,3999,122,193187,816257,5.987113110109607,r_sim_1.4,0.7846756819931113
193804157,0,0,4071,3999,157,193804,227243,12.209320809122016,r_sim_1.4,0.7615950573082786
193804158,0,0,4071,3999,158,193804,12899211,12.209320809122016,r_sim_1.4,0.7633397390078231
193804161,0,0,4071,3999,161,193804,1933765,12.209320809122016,r_sim_1.4,0.7612041139051211
193841023,0,0,4071,3999,23,193841,173316,12.060438806515958,r_sim_1.4,0.7459713195854236
202591085,0,0,4071,3999,85,202591,10751549,13.850894771620965,r_sim_1.4,0.6353220667309404
202591086,0,0,4071,3999,86,202591,1996892,13.850894771620965,r_sim_1.4,0.6332069146225342
202591088,0,0,4071,3999,88,202591,2436099,13.850894771620965,r_sim_1.4,0.6328929830986003
202591089,0,0,4071,3999,89,202591,422391,13.850894771620965,r_sim_1.4,0.6324473804761397
202618001,0,0,4071,3999,1,202618,638614,13.651131895891792,r_sim_1.4,0.7765629143028169
202618002,0,0,4071,3999,2,202618,2396467,13.651131895891792,r_sim_1.4,0.7788360852624591
202618004,0,0,4071,3999,4,202618,4316918,13.651131895891792,r_sim_1.4,0.7787718767110517
202618005,0,0,4071,3999,5,202618,8195275,13.651131895891792,r_sim_1.4,0.7753585330896029
212072034,0,0,4071,3999,34,212072,122949,4.065299076724357,r_sim_1.4,0.7821596217988159
212072035,0,0,4071,3999,35,212072,12725482,4.065299076724357,r_sim_1.4,0.7823703025755442
212072042,0,0,4071,3999,42,212072,1056244,4.065299076724357,r_sim_1.4,0.783199421189737
212072074,0,0,4071,3999,74,212072,1896483,4.065299076724357,r_sim_1.4,0.779410226594176
212125008,0,0,4071,3999,8,212125,15164,3.6946941077746636,r_sim_1.4,0.7173394350099388
212125038,0,0,4071,3999,38,212125,7298561,3.6946941077746636,r_sim_1.4,0.718876274477039
212125041,0,0,4071,3999,41,212125,139,3.6946941077746636,r_sim_1.4,0.7176599082933516
212125045,0,0,4071,3999,45,212125,7992249,3.6946941077746636,r_sim_1.4,0.7170677611019666
212125048,0,0,4071,3999,48,212125,353653,3.6946941077746636,r_sim_1.4,0.7172645648878705
242562057,0,0,4071,3999,57,242562,6154504,6.388458709377483,r_sim_1.4,0.7053373474020436
242562058,0,0,4071,3999,58,242562,1216877,6.388458709377483,r_sim_1.4,0.7074155060413873
242562060,0,0,4071,3999,60,242562,6161327,6.388458709377483,r_sim_1.4,0.712463384556855
242562061,0,0,4071,3999,61,242562,1889178,6.388458709377483,r_sim_1.4,0.7220619737961522
242595125,0,0,4071,3999,125,242595,2153542,6.967853659359475,r_sim_1.4,0.7774614837635692
242595132,0,0,4071,3999,132,242595,1759716,6.967853659359475,r_sim_1.4,0.77969485063359
242595162,0,0,4071,3999,162,242595,5975334,6.967853659359475,r_sim_1.4,0.7795919509363815
271299128,0,0,4071,3999,128,271299,1086761,7.768123029266199,r_sim_1.4,0.7121112302025554
271299131,0,0,4071,3999,131,271299,6571773,7.768123029266199,r_sim_1.4,0.7128665970758473
271299135,0,0,4071,3999,135,271299,981453,7.768123029266199,r_sim_1.4,0.7144194942729566
271299138,0,0,4071,3999,138,271299,6911358,7.768123029266199,r_sim_1.4,0.7121845578552526
414861029,0,0,4071,3999,29,414861,102460,10.299735346066912,r_sim_1.4,0.7185029908361644
414868166,0,0,4071,3999,166,414868,4327872,10.385942234246285,r_sim_1.4,0.6901066024677357
414868167,0,0,4071,3999,167,414868,2008450,10.385942234246285,r_sim_1.4,0.6891185649013224
414868169,0,0,4071,3999,169,414868,6465152,10.385942234246285,r_sim_1.4,0.688406334205751
414868170,0,0,4071,3999,170,414868,2829290,10.385942234246285,r_sim_1.4,0.6911822755666343
414892006,0,0,4071,3999,6,414892,1647585,9.927108700951099,r_sim_1.4,0.7264613953611702
436536091,0,0,4071,3999,91,436536,2007069,13.832252555095513,r_sim_1.4,0.7245094292640833
436536092,0,0,4071,3999,92,436536,7702623,13.832252555095513,r_sim_1.4,0.7268315831555074
436536094,0,0,4071,3999,94,436536,920465,13.832252555095513,r_sim_1.4,0.7238328714012667
436536095,0,0,4071,3999,95,436536,4869251,13.832252555095513,r_sim_1.4,0.7242816191419782
436581120,0,0,4071,3999,120,436581,7501193,13.796379050560098,r_sim_1.4,0.6655919794295319
436581121,0,0,4071,3999,121,436581,352104,13.796379050560098,r_sim_1.4,0.6684281386131805
436581123,0,0,4071,3999,123,436581,7286802,13.796379050560098,r_sim_1.4,0.6654845112953341
436581124,0,0,4071,3999,124,436581,1663,13.796379050560098,r_sim_1.4,0.6669999481855418
694197150,0,0,4071,3999,150,694197,2093100,4.036124830885401,r_sim_1.4,0.6959398254272561
694197151,0,0,4071,3999,151,694197,6963862,4.036124830885401,r_sim_1.4,0.6959671664735259
694197180,0,0,4071,3999,180,694197,1450939,4.036124830885401,r_sim_1.4,0.6957496272361454
694197181,0,0,4071,3999,181,694197,4807413,4.036124830885401,r_sim_1.4,0.6954059333238292
694227112,0,0,4071,3999,112,694227,2384220,4.020896069359707,r_sim_1.4,0.7171616354164041
694227113,0,0,4071,3999,113,694227,2163735,4.020896069359707,r_sim_1.4,0.7191155570082579
694227115,0,0,4071,3999,115,694227,5277479,4.020896069359707,r_sim_1.4,0.7154871407314266
694227116,0,0,4071,3999,116,694227,5741883,4.020896069359707,r_sim_1.4,0.7154852915253149
694244104,0,0,4071,3999,104,694244,3962746,4.0475332115308005,r_sim_1.4,0.7166690211861514
694244107,0,0,4071,3999,107,694244,5584562,4.0475332115308005,r_sim_1.4,0.7137586342817538
694244111,0,0,4071,3999,111,694244,2422890,4.0475332115308005,r_sim_1.4,0.7113889030593824
694244114,0,0,4071,3999,114,694244,3498097,4.0475332115308005,r_sim_1.4,0.7128704933239405
694266156,0,0,4071,3999,156,694266,6843858,4.027036799055102,r_sim_1.4,0.7149322991249998
694266157,0,0,4071,3999,157,694266,3556286,4.027036799055102,r_sim_1.4,0.7130683920537577
694266159,0,0,4071,3999,159,694266,3421989,4.027036799055102,r_sim_1.4,0.7149095159181023
694266160,0,0,4071,3999,160,694266,1805249,4.027036799055102,r_sim_1.4,0.71229156136973
694272005,0,0,4071,3999,5,694272,1642307,4.024502246106782,r_sim_1.4,0.709240946987504
694272009,0,0,4071,3999,9,694272,461950,4.024502246106782,r_sim_1.4,0.7033283329013895
694272012,0,0,4071,3999,12,694272,13587623,4.024502246106782,r_sim_1.4,0.705175907036698
694272015,0,0,4071,3999,15,694272,137553,4.024502246106782,r_sim_1.4,0.701131630996456
694301077,0,0,4071,3999,77,694301,289933,3.994875747099738,r_sim_1.4,0.7357259485111858
694301080,0,0,4071,3999,80,694301,3137614,3.994875747099738,r_sim_1.4,0.7346361468823185
694301084,0,0,4071,3999,84,694301,681090,3.994875747099738,r_sim_1.4,0.7368951242592333
